ProvinceID,MunicipalityID,Municipality,MunicTypeID
1,1117,BUF - Buffalo City,1
1,1101,DC10 - Sarah Baartman,3
1,1112,DC12 - Amathole,3
1,1121,DC13 - Chris Hani,3
1,1130,DC14 - Joe Gqabi,3
1,1135,DC15 - O R Tambo,3
1,1144,DC44 - Alfred Nzo,3
1,1102,EC101 - Camdeboo,2
1,1103,EC102 - Blue Crane Route,2
1,1105,EC104 - Makana,2
1,1106,EC105 - Ndlambe,2
1,1107,EC106 - Sundays River Valley,2
1,1109,EC108 - Kouga,2
1,1110,EC109 - Kou-Kamma,2
1,1113,EC121 - Mbhashe,2
1,1114,EC122 - Mnquma,2
1,1115,EC123 - Great Kei,2
1,1116,EC124 - Amahlathi,2
1,1118,EC126 - Ngqushwa,2
1,1147,EC129 - Nkonkobe/Nxuba,2
1,1122,EC131 - Inxuba Yethemba,2
1,1126,EC135 - Intsika Yethu,2
1,1127,EC136 - Emalahleni,2
1,1128,EC137 - Engcobo,2
1,1129,EC138 - Sakhisizwe,2
1,1149,EC139 - Tsolwana/Inkwanca/Lukanji,2
1,1131,EC141 - Elundini,2
1,1132,EC142 - Senqu,2
1,1148,EC145 - Maletswai/Gariep,2
1,1138,EC153 - Ngquza Hill,2
1,1139,EC154 - Port St Johns,2
1,1140,EC155 - Nyandeni,2
1,1141,EC156 - Mhlontlo,2
1,1142,EC157 - King Sabata Dalindyebo,2
1,4034,EC441 - Matatiele,2
1,1031,EC442 - Umzimvubu,2
1,1136,EC443 - Mbizana,2
1,1137,EC444 - Ntabankulu,2
1,1001,NMA - Nelson Mandela Bay,1
2,2201,DC16 - Xhariep,3
2,2209,DC18 - Lejweleputswa,3
2,2215,DC19 - Thabo Mofutsanyane,3
2,2221,DC20 - Fezile Dabi ,3
2,2202,FS161 - Letsemeng,2
2,2203,FS162 - Kopanong,2
2,2204,FS163 - Mohokare,2
2,2210,FS181 - Masilonyana,2
2,2211,FS182 - Tokologo,2
2,2212,FS183 - Tswelopele,2
2,2213,FS184 - Matjhabeng,2
2,2214,FS185 - Nala,2
2,2216,FS191 - Setsoto,2
2,2217,FS192 - Dihlabeng,2
2,2218,FS193 - Nketoana,2
2,2219,FS194 - Maluti a Phofung,2
2,2220,FS195 - Phumelela,2
2,2208,FS196 - Mantsopa,2
2,2222,FS201 - Moqhaka,2
2,2223,FS203 - Ngwathe,2
2,2224,FS204 - Metsimaholo,2
2,2225,FS205 - Mafube,2
2,2207,MAN - Mangaung,1
3,3301,DC42 - Sedibeng,3
3,3038,DC48 - West Rand,3
3,3002,EKU - Ekurhuleni,1
3,3302,GT421 - Emfuleni,2
